"","Jurkat","IM-9","Raji","THP-1","B cell"
"GSM279589",1,0,0,0,0
"GSM279590",1,0,0,0,0
"GSM279591",1,0,0,0,0
"GSM279592",0,1,0,0,1
"GSM279593",0,1,0,0,1
"GSM279594",0,1,0,0,1
"GSM279595",0,0,1,0,1
"GSM279596",0,0,1,0,1
"GSM279597",0,0,1,0,1
"GSM279598",0,0,0,1,0
"GSM279599",0,0,0,1,0
"GSM279600",0,0,0,1,0
"GSM279601",0.25,0.125,0.25,0.375,0.375
"GSM279602",0.25,0.125,0.25,0.375,0.375
"GSM279603",0.25,0.125,0.25,0.375,0.375
"GSM279604",0.05,0.317,0.475,0.158,0.792
"GSM279605",0.05,0.317,0.475,0.158,0.792
"GSM279606",0.05,0.317,0.475,0.158,0.792
"GSM279607",0.01,0.495,0.165,0.33,0.66
"GSM279608",0.01,0.495,0.165,0.33,0.66
"GSM279609",0.01,0.495,0.165,0.33,0.66
"GSM279610",0.002,0.333,0.333,0.333,0.665334665334665
"GSM279611",0.002,0.333,0.333,0.333,0.665334665334665
"GSM279612",0.002,0.333,0.333,0.333,0.665334665334665
