"","Brain","Liver","Lung"
"GSM495209",0,1,0
"GSM495210",0,1,0
"GSM495211",0,1,0
"GSM495212",1,0,0
"GSM495213",1,0,0
"GSM495214",1,0,0
"GSM495215",0,0,1
"GSM495216",0,0,1
"GSM495217",0,0,1
"GSM495218",0.25,0.05,0.7
"GSM495219",0.25,0.05,0.7
"GSM495220",0.25,0.05,0.7
"GSM495221",0.05,0.7,0.25
"GSM495222",0.05,0.7,0.25
"GSM495223",0.05,0.7,0.25
"GSM495224",0.7,0.25,0.05
"GSM495225",0.7,0.25,0.05
"GSM495226",0.7,0.25,0.05
"GSM495227",0.25,0.7,0.05
"GSM495228",0.25,0.7,0.05
"GSM495229",0.25,0.7,0.05
"GSM495230",0.45,0.45,0.1
"GSM495231",0.45,0.45,0.1
"GSM495232",0.45,0.45,0.1
"GSM495233",0.2,0.55,0.25
"GSM495234",0.2,0.55,0.25
"GSM495235",0.2,0.55,0.25
"GSM495236",0.3,0.5,0.2
"GSM495237",0.3,0.5,0.2
"GSM495238",0.3,0.5,0.2
"GSM495239",0.3,0.55,0.15
"GSM495240",0.3,0.55,0.15
"GSM495241",0.3,0.55,0.15
"GSM495242",0.4,0.5,0.1
"GSM495243",0.4,0.5,0.1
"GSM495244",0.4,0.5,0.1
"GSM495245",0.35,0.6,0.05
"GSM495246",0.35,0.6,0.05
"GSM495247",0.35,0.6,0.05
"GSM495248",0.34,0.65,0.01
"GSM495249",0.34,0.65,0.01
"GSM495250",0.34,0.65,0.01
